id,name,smiles,affinity
Halo_Gen1_0123,Rimantadine-Core-Amide-Cyclohexanone,CC(C12CC3CC(C1)CC(C3)C2)NC(=O)C1CCCCC1=O,-8.172
Halo_Gen1_0109,Rimantadine-Core-Propyl-Jasmone-Core,CC(C12CC3CC(C1)CC(C3)C2)CCCC1CC(=O)C(C1)CC=CC,-8.15
Halo_Gen1_0029,Adamantane-1-ReverseAmide-Jasmone-Core,C12CC3CC(C1)CC(C3)C2C(=O)NC1CC(=O)C(C1)CC=CC,-8.15
Halo_Gen1_0065,Memantine-Core-Direct-Jasmone-Core,CC12CC3CC(C1)(C)CC(C3)C2C1CC(=O)C(C1)CC=CC,-8.138
Halo_Gen1_0040,Adamantane-2-Ethyl-Hedione-Core,C1C2CC3CC1CC(C2)C3CCC1CC(=O)C(C1)CC(=O)OC,-8.111
Halo_Gen1_0057,Adamantane-2-Amide-Jasmone-Core,C1C2CC3CC1CC(C2)C3NC(=O)C1CC(=O)C(C1)CC=CC,-8.104
Halo_Gen1_0120,Rimantadine-Core-Amide-Hedione-Core,CC(C12CC3CC(C1)CC(C3)C2)NC(=O)C1CC(=O)C(C1)CC(=O)OC,-8.103
Halo_Gen1_0015,Adamantane-1-Propyl-Cyclohexanone,C12CC3CC(C1)CC(C3)C2CCCC1CCCCC1=O,-8.089
Halo_Gen1_0018,Adamantane-1-Ether-Lactone-Head,C12CC3CC(C1)CC(C3)C2OC1CC2(CCC1)OCC(=O)O2,-8.07
Halo_Gen1_0085,Memantine-Core-ThioEther-Jasmone-Core,CC12CC3CC(C1)(C)CC(C3)C2SC1CC(=O)C(C1)CC=CC,-8.034
Halo_Gen1_0088,Memantine-Core-Amide-Hedione-Core,CC12CC3CC(C1)(C)CC(C3)C2NC(=O)C1CC(=O)C(C1)CC(=O)OC,-8.03
Halo_Gen1_0096,Rimantadine-Core-Direct-Hedione-Core,CC(C12CC3CC(C1)CC(C3)C2)C1CC(=O)C(C1)CC(=O)OC,-8.023
Halo_Gen1_0075,Memantine-Core-Ethyl-Cyclohexanone,CC12CC3CC(C1)(C)CC(C3)C2CCC1CCCCC1=O,-8.014
Halo_Gen1_0045,Adamantane-2-Propyl-Jasmone-Core,C1C2CC3CC1CC(C2)C3CCCC1CC(=O)C(C1)CC=CC,-8.003
Halo_Gen1_0037,Adamantane-2-Methyl-Jasmone-Core,C1C2CC3CC1CC(C2)C3CC1CC(=O)C(C1)CC=CC,-7.985
Halo_Gen1_0012,Adamantane-1-Propyl-Hedione-Core,C12CC3CC(C1)CC(C3)C2CCCC1CC(=O)C(C1)CC(=O)OC,-7.973
Halo_Gen1_0124,Rimantadine-Core-ReverseAmide-Hedione-Core,CC(C12CC3CC(C1)CC(C3)C2)C(=O)NC1CC(=O)C(C1)CC(=O)OC,-7.972
Halo_Gen1_0108,Rimantadine-Core-Propyl-Hedione-Core,CC(C12CC3CC(C1)CC(C3)C2)CCCC1CC(=O)C(C1)CC(=O)OC,-7.96
Halo_Gen1_0084,Memantine-Core-ThioEther-Hedione-Core,CC12CC3CC(C1)(C)CC(C3)C2SC1CC(=O)C(C1)CC(=O)OC,-7.956
Halo_Gen1_0081,Memantine-Core-Ether-Jasmone-Core,CC12CC3CC(C1)(C)CC(C3)C2OC1CC(=O)C(C1)CC=CC,-7.936
Halo_Gen1_0111,Rimantadine-Core-Propyl-Cyclohexanone,CC(C12CC3CC(C1)CC(C3)C2)CCCC1CCCCC1=O,-7.935
Halo_Gen1_0121,Rimantadine-Core-Amide-Jasmone-Core,CC(C12CC3CC(C1)CC(C3)C2)NC(=O)C1CC(=O)C(C1)CC=CC,-7.919
Halo_Gen1_0044,Adamantane-2-Propyl-Hedione-Core,C1C2CC3CC1CC(C2)C3CCCC1CC(=O)C(C1)CC(=O)OC,-7.912
Halo_Gen1_0050,Adamantane-2-Ether-Lactone-Head,C1C2CC3CC1CC(C2)C3OC1CC2(CCC1)OCC(=O)O2,-7.908
Halo_Gen1_0033,Adamantane-2-Direct-Jasmone-Core,C1C2CC3CC1CC(C2)C3C1CC(=O)C(C1)CC=CC,-7.908
Halo_Gen1_0004,Adamantane-1-Methyl-Hedione-Core,C12CC3CC(C1)CC(C3)C2CC1CC(=O)C(C1)CC(=O)OC,-7.895
Halo_Gen1_0054,Adamantane-2-ThioEther-Lactone-Head,C1C2CC3CC1CC(C2)C3SC1CC2(CCC1)OCC(=O)O2,-7.89
Halo_Gen1_0011,Adamantane-1-Ethyl-Cyclohexanone,C12CC3CC(C1)CC(C3)C2CCC1CCCCC1=O,-7.879
Halo_Gen1_0034,Adamantane-2-Direct-Lactone-Head,C1C2CC3CC1CC(C2)C3C1CC2(CCC1)OCC(=O)O2,-7.879
Halo_Gen1_0091,Memantine-Core-Amide-Cyclohexanone,CC12CC3CC(C1)(C)CC(C3)C2NC(=O)C1CCCCC1=O,-7.876
Halo_Gen1_0066,Memantine-Core-Direct-Lactone-Head,CC12CC3CC(C1)(C)CC(C3)C2C1CC2(CCC1)OCC(=O)O2,-7.868
Halo_Gen1_0071,Memantine-Core-Methyl-Cyclohexanone,CC12CC3CC(C1)(C)CC(C3)C2CC1CCCCC1=O,-7.858
Halo_Gen1_0056,Adamantane-2-Amide-Hedione-Core,C1C2CC3CC1CC(C2)C3NC(=O)C1CC(=O)C(C1)CC(=O)OC,-7.853
Halo_Gen1_0008,Adamantane-1-Ethyl-Hedione-Core,C12CC3CC(C1)CC(C3)C2CCC1CC(=O)C(C1)CC(=O)OC,-7.853
Halo_Gen1_0002,Adamantane-1-Direct-Lactone-Head,C12CC3CC(C1)CC(C3)C2C1CC2(CCC1)OCC(=O)O2,-7.841
Halo_Gen1_0080,Memantine-Core-Ether-Hedione-Core,CC12CC3CC(C1)(C)CC(C3)C2OC1CC(=O)C(C1)CC(=O)OC,-7.831
Halo_Gen1_0053,Adamantane-2-ThioEther-Jasmone-Core,C1C2CC3CC1CC(C2)C3SC1CC(=O)C(C1)CC=CC,-7.826
Halo_Gen1_0116,Rimantadine-Core-ThioEther-Hedione-Core,CC(C12CC3CC(C1)CC(C3)C2)SC1CC(=O)C(C1)CC(=O)OC,-7.819
Halo_Gen1_0047,Adamantane-2-Propyl-Cyclohexanone,C1C2CC3CC1CC(C2)C3CCCC1CCCCC1=O,-7.804
Halo_Gen1_0059,Adamantane-2-Amide-Cyclohexanone,C1C2CC3CC1CC(C2)C3NC(=O)C1CCCCC1=O,-7.771
Halo_Gen1_0017,Adamantane-1-Ether-Jasmone-Core,C12CC3CC(C1)CC(C3)C2OC1CC(=O)C(C1)CC=CC,-7.768
Halo_Gen1_0112,Rimantadine-Core-Ether-Hedione-Core,CC(C12CC3CC(C1)CC(C3)C2)OC1CC(=O)C(C1)CC(=O)OC,-7.762
